timestamp,close,high,low,open,volume
1431523800,32.38,32.38,32.27,32.27,678000
1431523890,32.43,32.43,32.35,32.35,40700
1431523921,32.49,32.49,32.4,32.41,74700
1431524038,32.49,32.56,32.44,32.49,200500
1431524041,32.6,32.66,32.495,32.495,167800
1431524159,32.5905,32.64,32.58,32.61,138200
1431524160,32.64,32.67,32.59,32.595,80400
1431524220,32.65,32.69,32.63,32.65,94000
1431524280,32.67,32.69,32.64,32.65,47800
1431524399,32.71,32.72,32.66,32.67,105500
1431524400,32.71,32.74,32.69,32.71,200500
1431524517,32.74,32.75,32.71,32.72,213300
1431524524,32.75,32.77,32.73,32.74,80300
1431524585,32.78,32.78,32.73,32.74,53300
1431524642,32.73,32.78,32.72,32.77,68000
1431524759,32.76,32.76,32.72,32.73,85700
1431524817,32.76,32.77,32.74,32.76,48500
1431524879,32.775,32.78,32.73,32.77,167000
1431524939,32.79,32.79,32.775,32.78,19900
1431524998,32.81,32.8158,32.785,32.8,71500
1431525058,32.825,32.83,32.8,32.82,48700
1431525061,32.81,32.83,32.8,32.825,104200
1431525177,32.8202,32.83,32.81,32.82,55900
1431525180,32.8301,32.84,32.82,32.825,90600
1431525297,32.7801,32.8383,32.77,32.83,48100
1431525300,32.7899,32.79,32.75,32.78,22600
1431525360,32.78,32.8,32.78,32.79,29400
1431525479,32.7701,32.79,32.735,32.78,136900
1431525481,32.805,32.81,32.77,32.77,70900
1431525541,32.825,32.835,32.8,32.805,101900
1431525600,32.805,32.83,32.805,32.82,56800
1431525660,32.83,32.83,32.803,32.803,97500
1431525720,32.855,32.86,32.83,32.83,75900
1431525838,32.88,32.885,32.855,32.855,90600
1431525898,32.86,32.89,32.83,32.88,208500
1431525900,32.855,32.87,32.85,32.855,171600
1431526018,32.87,32.875,32.85,32.85,86300
1431526024,32.87,32.88,32.84,32.87,133000
1431526087,32.87,32.885,32.86,32.86,69700
1431526199,32.87,32.88,32.86,32.86,34000
1431526259,32.875,32.88,32.87,32.87,34300
1431526261,32.88,32.89,32.8401,32.88,102500
1431526325,32.89,32.89,32.88,32.89,18700
1431526438,32.9,32.9,32.885,32.89,51000
1431526440,32.88,32.9,32.88,32.895,63500
1431526558,32.86,32.89,32.85,32.89,74900
1431526618,32.86,32.87,32.86,32.86,30600
1431526621,32.815,32.87,32.815,32.8601,202700
1431526680,32.83,32.83,32.81,32.81,83300
1431526740,32.8,32.83,32.8,32.825,84400
1431526800,32.82,32.83,32.8,32.805,45300
1431526917,32.84,32.84,32.82,32.821,54800
1431526971,32.85,32.86,32.83,32.84,208400
1431527038,32.8555,32.87,32.85,32.86,65800
1431527098,32.85,32.86,32.84,32.8532,42800
1431527100,32.83,32.85,32.825,32.84,22000
1431527165,32.82,32.84,32.82,32.829,29100
1431527220,32.78,32.82,32.78,32.82,59300
1431527282,32.77,32.79,32.77,32.781,22600
1431527341,32.76,32.78,32.75,32.77,28500
1431527454,32.761,32.77,32.74,32.77,32900
1431527519,32.76,32.77,32.735,32.77,44300
1431527576,32.75,32.765,32.74,32.76,28700
1431527580,32.69,32.75,32.68,32.75,89600
1431527640,32.67,32.71,32.66,32.69,93100
1431527756,32.695,32.7,32.665,32.67,50700
1431527763,32.69,32.71,32.68,32.7,43900
1431527820,32.68,32.7,32.67,32.69,174900
1431527939,32.67,32.69,32.67,32.675,57400
1431527999,32.68,32.68,32.67,32.675,11200
1431528000,32.69,32.69,32.67,32.68,32000
1431528064,32.71,32.71,32.685,32.69,40800
1431528121,32.72,32.72,32.705,32.71,10400
1431528238,32.7,32.72,32.7,32.715,48500
1431528240,32.705,32.71,32.7,32.705,29000
1431528300,32.6899,32.71,32.66,32.7,121700
1431528360,32.69,32.7,32.67,32.68,49900
1431528420,32.7,32.705,32.685,32.69,22200
1431528538,32.69,32.705,32.69,32.6928,25200
1431528540,32.671,32.7,32.671,32.7,20200
1431528602,32.68,32.6856,32.665,32.67,19000
1431528663,32.68,32.685,32.67,32.675,15700
1431528721,32.7,32.7,32.67,32.68,12300
1431528783,32.7,32.7099,32.68,32.7,33100
1431528899,32.69,32.71,32.69,32.7,20800
1431528900,32.68,32.697,32.67,32.69,22400
1431528964,32.68,32.68,32.665,32.67,11300
1431529077,32.66,32.68,32.66,32.67,22600
1431529139,32.6501,32.67,32.65,32.66,19800
1431529197,32.63,32.65,32.615,32.65,107500
1431529204,32.57,32.63,32.57,32.63,44600
1431529318,32.58,32.58,32.555,32.57,51300
1431529323,32.59,32.6,32.575,32.58,22100
1431529389,32.5899,32.59,32.55,32.59,75900
1431529440,32.58,32.59,32.55,32.59,38300
1431529501,32.58,32.58,32.55,32.57,33800
1431529618,32.5955,32.6,32.5701,32.5701,47800
1431529620,32.61,32.62,32.6,32.6,64100
1431529681,32.617,32.617,32.59,32.6001,40000
1431529799,32.64,32.64,32.61,32.62,20400
1431529859,32.65,32.65,32.63,32.64,22400
1431529918,32.6,32.655,32.6,32.65,33800
1431529978,32.6,32.6099,32.585,32.6,26300
1431529980,32.58,32.595,32.5701,32.595,51000
1431530044,32.605,32.61,32.575,32.58,26300
1431530105,32.611,32.615,32.6,32.615,44900
1431530217,32.62,32.62,32.6047,32.615,42200
1431530220,32.642,32.642,32.611,32.611,15600
1431530282,32.645,32.65,32.64,32.65,32700
1431530394,32.641,32.66,32.63,32.65,28700
1431530457,32.59,32.6451,32.59,32.64,24700
1431530464,32.59,32.5916,32.56,32.59,50800
1431530522,32.6,32.6037,32.5801,32.5816,23400
1431530580,32.61,32.61,32.591,32.5999,19200
1431530698,32.62,32.63,32.61,32.61,14300
1431530756,32.61,32.62,32.6,32.61,35500
1431530760,32.61,32.62,32.6,32.6,22600
1431530822,32.625,32.64,32.58,32.61,175600
1431530880,32.605,32.63,32.6,32.63,30300
1431530995,32.61,32.62,32.6001,32.61,36800
1431531000,32.57,32.61,32.56,32.6,130000
1431531116,32.59,32.59,32.57,32.579,5300
1431531122,32.58,32.605,32.58,32.5811,42700
1431531181,32.615,32.6199,32.565,32.57,31100
1431531295,32.62,32.635,32.595,32.6165,70800
1431531304,32.6,32.62,32.59,32.61,19200
1431531362,32.595,32.61,32.59,32.59,19900
1431531420,32.6,32.6,32.56,32.59,174400
1431531537,32.6101,32.625,32.6,32.6,22200
1431531542,32.6,32.62,32.6,32.62,13700
1431531658,32.61,32.62,32.6,32.61,15200
1431531660,32.62,32.6268,32.61,32.61,18300
1431531721,32.615,32.62,32.61,32.6101,7900
1431531781,32.625,32.63,32.61,32.62,13700
1431531883,32.65,32.65,32.62,32.63,36600
1431531959,32.655,32.67,32.64,32.65,73900
1431531961,32.7,32.7,32.655,32.66,17800
1431532075,32.69,32.7,32.6701,32.69,31800
1431532139,32.695,32.7,32.6812,32.7,53500
1431532141,32.7,32.7,32.69,32.69,18300
1431532201,32.705,32.71,32.675,32.691,84600
1431532318,32.69,32.71,32.69,32.7,36700
1431532320,32.7,32.7,32.685,32.69,6900
1431532439,32.68,32.695,32.66,32.69,30400
1431532445,32.69,32.69,32.6715,32.6715,8200
1431532501,32.7,32.7,32.6836,32.6836,4600
1431532619,32.69,32.71,32.68,32.7,39800
1431532627,32.705,32.71,32.69,32.69,37700
1431532688,32.71,32.715,32.7,32.71,41700
1431532742,32.7,32.71,32.69,32.71,53400
1431532800,32.71,32.71,32.68,32.69,30700
1431532919,32.71,32.71,32.695,32.7001,11000
1431532974,32.709,32.72,32.7,32.707,42300
1431532981,32.7,32.71,32.7,32.7,3700
1431533099,32.7,32.707,32.69,32.7,16300
1431533159,32.69,32.71,32.685,32.69,30300
1431533166,32.69,32.7,32.68,32.6999,11300
1431533220,32.69,32.69,32.68,32.68,16700
1431533334,32.69,32.7,32.69,32.69,6500
1431533399,32.685,32.69,32.67,32.69,40100
1431533410,32.69,32.69,32.68,32.68,6900
1431533460,32.7,32.7,32.6899,32.69,6900
1431533521,32.6999,32.7,32.69,32.695,2100
1431533639,32.7,32.71,32.69,32.69,24000
1431533640,32.6999,32.71,32.69,32.695,11400
1431533706,32.7099,32.72,32.695,32.7,65500
1431533760,32.71,32.71,32.7,32.71,6000
1431533820,32.72,32.73,32.7001,32.71,54600
1431533938,32.74,32.74,32.7201,32.73,42400
1431533998,32.76,32.76,32.733,32.74,31000
1431534000,32.71,32.76,32.71,32.76,70800
1431534062,32.692,32.72,32.692,32.72,13700
1431534124,32.68,32.7,32.67,32.69,25900
1431534236,32.66,32.68,32.66,32.68,12500
1431534242,32.64,32.66,32.64,32.66,22500
1431534304,32.64,32.66,32.64,32.64,34700
1431534373,32.6095,32.6482,32.6,32.64,29700
1431534422,32.593,32.615,32.58,32.6,54300
1431534538,32.61,32.61,32.6,32.6,10200
1431534542,32.59,32.61,32.58,32.61,13000
1431534659,32.58,32.591,32.58,32.585,33300
1431534663,32.595,32.595,32.58,32.58,13100
1431534779,32.6,32.6,32.59,32.595,10600
1431534780,32.605,32.61,32.6,32.6,10600
1431534898,32.63,32.63,32.6,32.61,7300
1431534959,32.62,32.63,32.61,32.63,13300
1431534962,32.64,32.65,32.63,32.63,17200
1431535076,32.64,32.64,32.63,32.64,3300
1431535080,32.65,32.65,32.63,32.64,14200
1431535140,32.64,32.66,32.63,32.65,116800
1431535200,32.64,32.6449,32.631,32.6449,14000
1431535316,32.64,32.64,32.63,32.635,2800
1431535320,32.63,32.64,32.625,32.64,16000
1431535435,32.6227,32.63,32.62,32.63,4400
1431535496,32.62,32.63,32.61,32.63,20800
1431535500,32.595,32.62,32.58,32.62,27900
1431535618,32.61,32.61,32.59,32.5956,12100
1431535666,32.6056,32.61,32.6,32.61,18900
1431535680,32.62,32.62,32.6,32.6,8900
1431535799,32.6,32.62,32.6,32.61,10800
1431535800,32.595,32.62,32.595,32.61,29200
1431535908,32.5901,32.6,32.59,32.59,3100
1431535922,32.62,32.63,32.59,32.591,31300
1431535982,32.64,32.64,32.61,32.62,16600
1431536040,32.6372,32.6478,32.63,32.64,14600
1431536112,32.6079,32.635,32.605,32.63,18200
1431536162,32.605,32.61,32.595,32.6,9300
1431536221,32.61,32.625,32.605,32.61,14800
1431536294,32.6,32.62,32.6,32.62,8500
1431536340,32.601,32.61,32.6,32.6,11000
1431536459,32.61,32.62,32.6,32.6,23500
1431536464,32.64,32.645,32.61,32.615,45900
1431536521,32.68,32.69,32.65,32.65,54000
1431536580,32.71,32.715,32.67,32.67,121300
1431536649,32.7,32.71,32.6901,32.7,19400
1431536700,32.69,32.695,32.68,32.695,18600
1431536760,32.695,32.7,32.6899,32.69,9900
1431536825,32.7165,32.7165,32.69,32.695,12100
1431536885,32.72,32.75,32.7101,32.7186,92500
1431536998,32.72,32.74,32.72,32.72,27400
1431537000,32.703,32.7299,32.7,32.7295,23100
1431537068,32.7,32.71,32.695,32.71,21000
1431537131,32.68,32.708,32.68,32.708,17600
1431537237,32.7,32.7,32.68,32.68,17300
1431537245,32.7,32.7,32.691,32.7,4500
1431537300,32.68,32.7,32.67,32.695,26300
1431537419,32.67,32.6899,32.67,32.68,12100
1431537420,32.6674,32.68,32.66,32.67,34000
1431537531,32.645,32.67,32.645,32.6601,13000
1431537599,32.6576,32.6576,32.6448,32.6448,7900
1431537601,32.65,32.66,32.65,32.6556,8800
1431537660,32.66,32.66,32.65,32.65,12200
1431537720,32.65,32.66,32.64,32.66,22200
1431537835,32.64,32.65,32.63,32.65,23900
1431537842,32.65,32.65,32.63,32.6348,11400
1431537904,32.66,32.66,32.64,32.65,6700
1431537964,32.6422,32.66,32.64,32.6547,17200
1431538078,32.66,32.66,32.64,32.64,7800
1431538084,32.65,32.68,32.65,32.66,19900
1431538143,32.67,32.67,32.6532,32.655,7100
1431538259,32.67,32.68,32.67,32.675,7100
1431538269,32.68,32.69,32.67,32.68,7400
1431538323,32.675,32.685,32.67,32.6801,7900
1431538437,32.68,32.68,32.665,32.6744,10200
