uri:/instrument/1.0/AAON/chartdata;type=quote;range=1d/csv,,,,,,
ticker:aaon,,,,,,
Company-Name:AAON, Inc.,,,,,
Exchange-Name:NMS,,,,,,
unit:MIN,,,,,,
timezone:EDT,,,,,,
currency:USD,,,,,,
gmtoffset:-14400,,,,,,
previous_close:22.8000,,,,,,
Timestamp:1431523800,1431547200,,,,,
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume,
close:22.5000,23.21,,,,,
high:22.5300,23.21,,,,,
low:22.5000,23.2,,,,,
open:22.5000,23.2,,,,,
volume:100,11100,,,,,
1431523805,22.8,22.8,22.67,22.67,1600,
1431524006,22.84,22.84,22.8,22.8,900,
1431524068,22.8,22.8,22.8,22.8,100,
1431524510,22.67,22.67,22.67,22.67,100,
1431524742,22.69,22.69,22.69,22.69,200,
1431524887,22.67,22.67,22.67,22.67,100,
1431524999,22.71,22.71,22.6,22.6,200,
1431525009,22.78,22.78,22.675,22.69,1000,
1431525375,22.68,22.795,22.68,22.75,1500,
1431525472,22.78,22.78,22.56,22.6,1500,
1431525496,22.57,22.655,22.55,22.635,1800,
1431525713,22.68,22.68,22.68,22.68,100,
1431525851,22.73,22.76,22.695,22.76,1900,
1431525945,22.79,22.79,22.784,22.784,200,
1431526304,22.735,22.735,22.735,22.735,100,
1431526661,22.77,22.77,22.77,22.77,200,
1431526779,22.72,22.72,22.72,22.72,100,
1431527143,22.695,22.695,22.695,22.695,100,
1431527562,22.7,22.7,22.7,22.7,100,
1431527596,22.64,22.64,22.64,22.64,300,
1431528107,22.58,22.58,22.58,22.58,100,
1431528121,22.62,22.62,22.58,22.59,300,
1431528210,22.5902,22.5902,22.5902,22.5902,300,
1431528319,22.58,22.58,22.57,22.58,800,
1431529027,22.54,22.54,22.54,22.54,400,
1431529177,22.54,22.54,22.54,22.54,800,
1431529224,22.5,22.54,22.5,22.54,300,
1431529271,22.515,22.54,22.5,22.5,4600,
1431529445,22.515,22.53,22.5,22.5,1400,
1431529776,22.53,22.53,22.5,22.5,300,
1431530158,22.55,22.55,22.55,22.55,200,
1431530239,22.57,22.57,22.57,22.57,300,
1431530762,22.54,22.54,22.54,22.54,100,
1431530922,22.51,22.57,22.51,22.56,600,
1431531011,22.53,22.53,22.51,22.51,200,
1431531107,22.5562,22.5562,22.5562,22.5562,100,
1431531205,22.54,22.54,22.54,22.54,100,
1431531299,22.57,22.57,22.55,22.55,500,
1431531323,22.6,22.6,22.57,22.57,1100,
1431531622,22.57,22.6,22.57,22.6,500,
