Mark, Long Call Profit, Short Call Profit, Long Put Profit, Short Put Profit, Net Profit
0.0,-5.0,5.0,-95.0,-95.0,-190.0
0.01,-5.0,5.0,-94.99,-94.99,-189.98
0.02,-5.0,5.0,-94.98,-94.98,-189.96
0.03,-5.0,5.0,-94.97,-94.97,-189.94
0.04,-5.0,5.0,-94.96,-94.96,-189.92
0.05,-5.0,5.0,-94.95,-94.95,-189.9
0.060000000000000005,-5.0,5.0,-94.94,-94.94,-189.88
0.07,-5.0,5.0,-94.93,-94.93,-189.86
0.08,-5.0,5.0,-94.92,-94.92,-189.84
0.09,-5.0,5.0,-94.91,-94.91,-189.82
0.09999999999999999,-5.0,5.0,-94.9,-94.9,-189.8
0.10999999999999999,-5.0,5.0,-94.89,-94.89,-189.78
0.11999999999999998,-5.0,5.0,-94.88,-94.88,-189.76
0.12999999999999998,-5.0,5.0,-94.87,-94.87,-189.74
0.13999999999999999,-5.0,5.0,-94.86,-94.86,-189.72
0.15,-5.0,5.0,-94.85,-94.85,-189.7
0.16,-5.0,5.0,-94.84,-94.84,-189.68
0.17,-5.0,5.0,-94.83,-94.83,-189.66
0.18000000000000002,-5.0,5.0,-94.82,-94.82,-189.64
0.19000000000000003,-5.0,5.0,-94.81,-94.81,-189.62
0.20000000000000004,-5.0,5.0,-94.8,-94.8,-189.6
0.21000000000000005,-5.0,5.0,-94.79,-94.79,-189.58
0.22000000000000006,-5.0,5.0,-94.78,-94.78,-189.56
0.23000000000000007,-5.0,5.0,-94.77,-94.77,-189.54
0.24000000000000007,-5.0,5.0,-94.76,-94.76,-189.52
0.25000000000000006,-5.0,5.0,-94.75,-94.75,-189.5
0.26000000000000006,-5.0,5.0,-94.74,-94.74,-189.48
0.2700000000000001,-5.0,5.0,-94.73,-94.73,-189.46
0.2800000000000001,-5.0,5.0,-94.72,-94.72,-189.44
0.2900000000000001,-5.0,5.0,-94.71,-94.71,-189.42
0.3000000000000001,-5.0,5.0,-94.7,-94.7,-189.4
0.3100000000000001,-5.0,5.0,-94.69,-94.69,-189.38
0.3200000000000001,-5.0,5.0,-94.68,-94.68,-189.36
0.3300000000000001,-5.0,5.0,-94.67,-94.67,-189.34
0.34000000000000014,-5.0,5.0,-94.66,-94.66,-189.32
0.35000000000000014,-5.0,5.0,-94.65,-94.65,-189.3
0.36000000000000015,-5.0,5.0,-94.64,-94.64,-189.28
0.37000000000000016,-5.0,5.0,-94.63,-94.63,-189.26
0.38000000000000017,-5.0,5.0,-94.62,-94.62,-189.24
0.3900000000000002,-5.0,5.0,-94.61,-94.61,-189.22
0.4000000000000002,-5.0,5.0,-94.6,-94.6,-189.2
0.4100000000000002,-5.0,5.0,-94.59,-94.59,-189.18
0.4200000000000002,-5.0,5.0,-94.58,-94.58,-189.16
0.4300000000000002,-5.0,5.0,-94.57,-94.57,-189.14
0.4400000000000002,-5.0,5.0,-94.56,-94.56,-189.12
0.45000000000000023,-5.0,5.0,-94.55,-94.55,-189.1
0.46000000000000024,-5.0,5.0,-94.54,-94.54,-189.08
0.47000000000000025,-5.0,5.0,-94.53,-94.53,-189.06
0.48000000000000026,-5.0,5.0,-94.52,-94.52,-189.04
0.49000000000000027,-5.0,5.0,-94.51,-94.51,-189.02
0.5000000000000002,-5.0,5.0,-94.5,-94.5,-189.0
0.5100000000000002,-5.0,5.0,-94.49,-94.49,-188.98
0.5200000000000002,-5.0,5.0,-94.48,-94.48,-188.96
0.5300000000000002,-5.0,5.0,-94.47,-94.47,-188.94
0.5400000000000003,-5.0,5.0,-94.46,-94.46,-188.92
0.5500000000000003,-5.0,5.0,-94.45,-94.45,-188.9
0.5600000000000003,-5.0,5.0,-94.44,-94.44,-188.88
0.5700000000000003,-5.0,5.0,-94.43,-94.43,-188.86
0.5800000000000003,-5.0,5.0,-94.42,-94.42,-188.84
0.5900000000000003,-5.0,5.0,-94.41,-94.41,-188.82
0.6000000000000003,-5.0,5.0,-94.4,-94.4,-188.8
0.6100000000000003,-5.0,5.0,-94.39,-94.39,-188.78
0.6200000000000003,-5.0,5.0,-94.38,-94.38,-188.76
0.6300000000000003,-5.0,5.0,-94.37,-94.37,-188.74
0.6400000000000003,-5.0,5.0,-94.36,-94.36,-188.72
0.6500000000000004,-5.0,5.0,-94.35,-94.35,-188.7
