uri:/instrument/1.0/AXAS/chartdata;type=quote;range=500d/csv
ticker:axas
Company-Name:Abraxas Petroleum Corporation
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:3.2500
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:3.1200,3.8450
high:3.1250,3.8450
low:3.1200,3.8350
open:3.1200,3.8450
volume:0,389800
1429882493,3.6500,3.7100,3.6500,3.7000,44400
1429882786,3.6875,3.7000,3.6500,3.6572,21800
1429883075,3.6800,3.6900,3.6700,3.6800,40900
1429883343,3.6750,3.6900,3.6700,3.6800,10700
1429883673,3.6825,3.6900,3.6700,3.6800,23100
1429883991,3.6550,3.6900,3.6500,3.6800,82100
1429884286,3.6325,3.6600,3.6325,3.6550,25000
1429884529,3.6250,3.6300,3.6200,3.6300,6100
1429884894,3.6300,3.6300,3.6050,3.6250,49500
1429885154,3.6400,3.6500,3.6272,3.6299,5000
1429885485,3.6300,3.6400,3.6250,3.6400,4100
1429885798,3.6299,3.6300,3.6200,3.6300,16800
1429886084,3.6299,3.6400,3.6200,3.6300,11600
1429886273,3.6250,3.6300,3.6200,3.6200,12100
1429886665,3.6200,3.6216,3.6200,3.6200,3800
1429886991,3.6050,3.6200,3.6000,3.6200,22000
1429887231,3.6000,3.6100,3.6000,3.6050,3700
1429887583,3.6000,3.6100,3.6000,3.6000,16700
1429887855,3.6100,3.6200,3.6000,3.6000,25100
1429888166,3.6200,3.6200,3.6050,3.6050,19400
1429888447,3.6500,3.6500,3.6300,3.6300,12700
1429888768,3.6350,3.6450,3.6300,3.6450,15300
1429889060,3.6200,3.6350,3.6200,3.6300,29700
1429889393,3.6100,3.6270,3.6100,3.6270,11900
1429889697,3.6100,3.6200,3.6100,3.6100,1700
1429889979,3.6350,3.6400,3.6100,3.6100,20100
1429890187,3.6300,3.6350,3.6300,3.6350,800
1429890561,3.6450,3.6500,3.6250,3.6300,28200
1429890894,3.6300,3.6350,3.6300,3.6300,6300
1429891191,3.6300,3.6400,3.6300,3.6350,7400
1429891499,3.6600,3.6600,3.6300,3.6399,69800
1429891714,3.6400,3.6600,3.6300,3.6550,88200
1429892061,3.6350,3.6484,3.6300,3.6400,4500
1429892396,3.6300,3.6300,3.6300,3.6300,2300
1429892678,3.6490,3.6500,3.6300,3.6350,16600
1429892970,3.6600,3.6600,3.6450,3.6450,10400
1429893290,3.6550,3.6650,3.6550,3.6650,7300
1429893591,3.6500,3.6700,3.6500,3.6599,16500
1429893775,3.6450,3.6500,3.6450,3.6450,400
1429894103,3.6400,3.6500,3.6400,3.6500,1900
1429894492,3.6200,3.6400,3.6200,3.6400,26800
1429894764,3.6200,3.6250,3.6200,3.6200,6600
1429895047,3.6235,3.6235,3.6100,3.6200,21200
1429895353,3.6300,3.6300,3.6200,3.6200,4600
1429895680,3.6200,3.6300,3.6200,3.6250,1000
1429895960,3.6300,3.6300,3.6200,3.6200,2100
1429896291,3.6350,3.6400,3.6200,3.6250,7700
1429896496,3.6350,3.6400,3.6310,3.6400,600
1429896828,3.6300,3.6301,3.6300,3.6300,6800
1429897194,3.6200,3.6300,3.6200,3.6300,3000
