uri:/instrument/1.0/EBSB/chartdata;type=quote;range=1d/csv
ticker:ebsb
Company-Name:Meridian Bancorp, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:12.8900
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:12.8300,12.9300
high:12.8300,12.9600
low:12.8300,12.9300
open:12.8300,12.9300
volume:100,114000
1431523800,12.9000,12.9500,12.9000,12.9000,1200
1431523932,12.9100,12.9600,12.9000,12.9200,20100
1431523988,12.9000,12.9245,12.9000,12.9200,2800
1431524086,12.9200,12.9200,12.8400,12.8400,2000
1431524296,12.8900,12.8900,12.8900,12.8900,100
1431524381,12.8900,12.8900,12.8900,12.8900,100
1431524451,12.9000,12.9000,12.9000,12.9000,500
1431524473,12.9000,12.9100,12.9000,12.9000,400
1431524556,12.9100,12.9100,12.9000,12.9000,300
1431524707,12.9100,12.9100,12.9000,12.9000,200
1431524818,12.9000,12.9000,12.9000,12.9000,100
1431524912,12.9050,12.9050,12.9000,12.9000,200
1431524942,12.9200,12.9200,12.9200,12.9200,800
1431525009,12.9000,12.9000,12.9000,12.9000,500
1431525536,12.9000,12.9000,12.9000,12.9000,600
1431525655,12.9000,12.9000,12.9000,12.9000,100
1431525695,12.9053,12.9053,12.9053,12.9053,800
1431525721,12.9000,12.9000,12.9000,12.9000,200
1431525892,12.9000,12.9000,12.9000,12.9000,300
1431526234,12.9050,12.9050,12.9000,12.9000,600
1431526410,12.9000,12.9000,12.9000,12.9000,500
1431526447,12.9200,12.9200,12.9200,12.9200,300
1431526557,12.9200,12.9200,12.9200,12.9200,200
1431526667,12.9200,12.9300,12.9000,12.9100,1200
1431526693,12.9100,12.9100,12.9100,12.9100,200
1431526795,12.9000,12.9200,12.9000,12.9200,400
1431526911,12.9000,12.9000,12.9000,12.9000,200
1431526995,12.9100,12.9100,12.9100,12.9100,300
1431527089,12.9000,12.9000,12.9000,12.9000,100
1431527503,12.9000,12.9000,12.9000,12.9000,600
1431527751,12.8800,12.8800,12.8800,12.8800,600
1431527904,12.8600,12.8600,12.8600,12.8600,400
1431528630,12.9100,12.9100,12.9100,12.9100,200
1431529049,12.9000,12.9000,12.9000,12.9000,100
1431529110,12.9100,12.9100,12.9100,12.9100,300
1431529294,12.8800,12.8900,12.8800,12.8900,900
1431529489,12.9000,12.9000,12.9000,12.9000,100
1431529558,12.8800,12.8800,12.8800,12.8800,300
1431529654,12.8700,12.8700,12.8600,12.8600,200
1431529727,12.8500,12.8500,12.8500,12.8500,100
1431530202,12.8300,12.8300,12.8300,12.8300,800
1431530788,12.8800,12.8800,12.8500,12.8500,300
1431530997,12.9000,12.9000,12.8800,12.8800,900
1431531005,12.8679,12.8900,12.8679,12.8900,1300
1431531448,12.9000,12.9000,12.9000,12.9000,4300
1431531641,12.9000,12.9000,12.9000,12.9000,200
1431531795,12.9000,12.9000,12.9000,12.9000,100
1431532161,12.8700,12.8700,12.8700,12.8700,100
1431532238,12.9000,12.9000,12.9000,12.9000,100
1431532286,12.9000,12.9000,12.9000,12.9000,200
1431532376,12.8950,12.8950,12.8950,12.8950,100
1431532413,12.8999,12.8999,12.8999,12.8999,100
