uri:/instrument/1.0/MXIM/chartdata;type=quote;range=1d/csv
ticker:mxim
Company-Name:Maxim Integrated Products, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:32.5200
Timestamp:1431610200,1431633600
labels:1431612000,1431615600,1431619200,1431622800,1431626400,1431630000,1431633600
values:Timestamp,close,high,low,open,volume
close:32.5500,32.7600
high:32.5500,32.7801
low:32.5300,32.7600
open:32.5400,32.7800
volume:100,20200
1431610432,32.6600,32.6600,32.6600,32.6600,14300
1431610662,32.7500,32.7500,32.7350,32.7400,1400
1431610688,32.7600,32.7600,32.7600,32.7600,500
1431610794,32.7600,32.7801,32.7500,32.7800,1300
1431610818,32.7300,32.7600,32.7300,32.7600,500
1431610908,32.7600,32.7600,32.7320,32.7400,2000
1431610965,32.7100,32.7500,32.6800,32.7500,1400
1431610982,32.7200,32.7300,32.7100,32.7100,1400
1431611093,32.6600,32.6900,32.6300,32.6404,1800
1431611105,32.5600,32.6400,32.5500,32.6300,10500
1431611164,32.6050,32.6050,32.5600,32.5600,1500
1431611272,32.5900,32.6200,32.5900,32.6050,300
1431611315,32.6300,32.6500,32.6200,32.6200,1900
1431611348,32.6100,32.6300,32.6100,32.6250,1000
1431611415,32.6340,32.6400,32.6340,32.6400,1300
1431611517,32.6200,32.6500,32.6100,32.6400,18800
1431611579,32.6600,32.6700,32.6200,32.6200,20200
1431611584,32.6500,32.6500,32.6500,32.6500,500
1431611653,32.6600,32.6600,32.6500,32.6500,400
1431611700,32.6800,32.6800,32.6700,32.6700,1400
1431611806,32.6700,32.6700,32.6700,32.6700,800
1431611866,32.6400,32.6700,32.6400,32.6700,3700
1431611899,32.6400,32.6400,32.6400,32.6400,500
1431611950,32.6200,32.6200,32.5900,32.5900,300
1431612052,32.6400,32.6400,32.6240,32.6240,1300
1431612073,32.6200,32.6200,32.6200,32.6200,300
1431612125,32.6000,32.6000,32.6000,32.6000,100
1431612198,32.6200,32.6200,32.5800,32.6000,2800
1431612240,32.6100,32.6200,32.6100,32.6200,500
1431612351,32.6400,32.6400,32.6400,32.6400,300
1431612370,32.6500,32.6500,32.6500,32.6500,300
1431612473,32.6600,32.6600,32.6400,32.6400,700
1431612480,32.6600,32.6600,32.6500,32.6500,1200
1431612591,32.6800,32.6800,32.6600,32.6600,1500
1431612644,32.6800,32.6900,32.6800,32.6900,1100
1431612695,32.6800,32.6800,32.6700,32.6700,200
1431612771,32.6900,32.6900,32.6800,32.6800,2600
1431612831,32.6800,32.7000,32.6800,32.6900,1100
1431612854,32.6960,32.6960,32.6960,32.6960,100
1431612933,32.7200,32.7200,32.7000,32.7000,800
1431613038,32.7100,32.7200,32.7100,32.7200,1000
1431613122,32.7100,32.7100,32.7100,32.7100,300
1431613162,32.7150,32.7150,32.7150,32.7150,200
1431613256,32.7300,32.7300,32.7100,32.7100,1400
1431613294,32.7250,32.7250,32.7250,32.7250,100
1431613377,32.6800,32.7100,32.6800,32.7100,5900
1431613422,32.6700,32.6800,32.6700,32.6700,5400
1431613465,32.6700,32.6700,32.6700,32.6700,300
1431613525,32.6600,32.6600,32.6600,32.6600,100
1431613564,32.6600,32.6600,32.6600,32.6600,200
1431613648,32.6500,32.6601,32.6500,32.6601,1300
1431613698,32.6500,32.6500,32.6500,32.6500,500
1431613776,32.6400,32.6400,32.6400,32.6400,500
1431613855,32.6400,32.6500,32.6400,32.6400,1400
1431613893,32.6500,32.6600,32.6500,32.6500,600
1431613922,32.6410,32.6500,32.6400,32.6400,1500
1431614036,32.6400,32.6400,32.6400,32.6400,400
1431614091,32.6300,32.6300,32.6300,32.6300,1300
1431614113,32.6100,32.6250,32.6100,32.6250,600
1431614162,32.6100,32.6100,32.6100,32.6100,200
1431614269,32.6100,32.6100,32.6064,32.6100,400
1431614312,32.6100,32.6100,32.6000,32.6000,800
1431614369,32.6100,32.6100,32.6100,32.6100,600
1431614454,32.5800,32.6100,32.5800,32.6100,2700
1431614518,32.5700,32.5700,32.5600,32.5700,900
1431614570,32.5700,32.5700,32.5600,32.5600,1000
1431614611,32.5650,32.5650,32.5600,32.5600,300
1431614663,32.5650,32.5650,32.5601,32.5601,200
1431614758,32.5500,32.5600,32.5500,32.5600,1700
1431614763,32.5500,32.5500,32.5300,32.5400,2400
1431614871,32.5600,32.5600,32.5500,32.5500,700
1431614930,32.5600,32.5600,32.5600,32.5600,300
1431614995,32.5600,32.5600,32.5600,32.5600,300
1431615116,32.5600,32.5600,32.5500,32.5600,1600
1431615138,32.5700,32.5700,32.5663,32.5663,900
1431615235,32.5900,32.6000,32.5700,32.5700,1600
1431615294,32.6000,32.6000,32.5900,32.5900,2500
1431615304,32.5990,32.6000,32.5990,32.6000,1000
1431615452,32.6100,32.6100,32.6100,32.6100,800
1431615487,32.6100,32.6200,32.6100,32.6150,1700
1431615544,32.6100,32.6100,32.6000,32.6001,3100
